Send Name,Eco/6s,Cost/6s
Zero Send,0,0
Grouped Reds,7.5000,150.0000
Spaced Blues,3.2000,60.0000
Grouped Blues,10.0000,240.0000
Spaced Greens,108/23,2160/23
Grouped Greens,21.0000,525.0000
Spaced Yellows,144/23,2880/23
Grouped Yellows,40.0000,1000.0000
Spaced Pinks,28/3,560/3
Grouped Pinks,69.0000,1800.0000
Spaced Whites,75/7,1500/7
Grouped Whites,312/7,7800/7
Spaced Blacks,12.8000,264.0000
Grouped Blacks,56.2500,1406.2500
Spaced Purples,16.5000,350.0000
Grouped Purples,696/7,27600/7
Spaced Zebras,27.0000,600.0000
Grouped Zebras,87.5000,3000.0000
Spaced Leads,8.4000,180.0000
Grouped Leads,45.0000,1500.0000
Tight Leads,120.0000,7200.0000
Spaced Rainbows,48.0000,1200.0000
Grouped Rainbows,90.0000,3750.0000
Spaced Ceramics,40.0000,1200.0000
Grouped Ceramics,45.0000,10000.0000
